#Index,Spectrum No,R,    Theta,            Q,            Phi,        Monitor
0,1,   2.500238758326,2.945094746351,0.4408575466636,2.015345228728,no
1,2,   2.500850632787,3.527504128218,0.5280143900601,-2.579991848427,no
2,3,   2.503909278748,4.159612959901,0.622593187209,41.04513218015,no
3,4,   2.505411792731,4.743493196812,0.7099390515785,22.79491765459,no
4,5,   2.506804543039,5.355070527346,0.8014084746736,-8.840080287184,no
5,6,   2.508319234645,5.979325902056,0.8947505054453,-2.191124135476,no
6,7,   2.510167329618,6.620567447478,0.9906047269058,-34.03406456659,no
7,8,   2.511918378458,7.258652125335,1.085956266637,-3.958619203806,no
8,9,   2.514146783617,7.885460055139,1.179589909695,-30.61520568324,no
9,10,  2.516092492729,8.51045923661,1.272918220715,48.25472761001,no
10,11, 2.518808256327,9.138464567726,1.36665728208,-43.65574884654,no
11,12, 2.521603926037,9.778933466786,1.462214418789,-24.32015383993,no
12,13, 2.523661156424,10.4063950351,1.555786602795,44.35309789514,no
13,14, 2.526448216994,11.02203221901,1.64755011923,-85.16758962231,no
14,15, 2.529932617027,11.65495471939,1.741840489768,76.69298999149,no
15,16, 2.533337855987,12.28926838777,1.836284796007,-13.90570047239,no
16,17, 2.536634899825,12.92135994414,1.930342280506,75.72815207369,no
17,18, 2.539509626318,13.54799407173,2.023529712893,5.739069440785,no
18,19, 2.544338535918,14.17621084336,2.116891759602,-59.541933401,no
19,20, 2.547640751237,14.80345140699,2.21004525484,93.85267117156,no
20,21, 2.552474315252,15.43579347077,2.303889356429,8.805714250913,no
21,22, 2.555893318092,16.06873545534,2.397752234673,20.41034018974,no
22,23, 2.560452202642,16.69255372041,2.490190535804,-61.90974981596,no
23,24, 2.565896867427,17.32333663707,2.583585820708,125.5130644062,no
24,25, 2.574843818432,17.95017443705,2.676319435967,172.5806497681,no
25,26, 2.582417107054,18.57868144981,2.769219586578,-175.0682955314,no
26,27, 2.585691351954,19.21202252979,2.862749988891,170.5084130287,no
27,28, 2.590004602484,19.84359183966,2.955931660896,174.2822689452,no
28,29, 2.595347716795,20.47739409337,3.049352510674,173.4446843232,no
29,30, 2.600531351981,21.10761084225,3.142152377178,173.7368073035,no
30,31, 2.607059342179,21.73436309155,3.23434784223,-177.5355912864,no
31,32, 2.612428748567,22.36453598768,3.326948932256,-179.6704744592,no
32,33, 2.61909828056,22.99465934927,3.419442141154,143.1621599902,no
33,34, 2.627502779261,23.62430021271,3.511761250449,165.3594102314,no
34,35, 2.640274989413,24.24894470553,3.603243024505,-3.20975841882,no
35,36, 2.654492926219,24.88364655025,3.696088058445,19.39020794973,no
36,37, 2.654750807551,25.51639424241,3.788534372188,6.397235738061,no
37,38, 2.661942125402,26.14180766104,3.879795626418,4.115281414398,no
38,39, 2.670657107534,26.7752581282,3.972111841775,-2.061355131315,no
39,40, 2.677476022657,27.40397994636,4.063618909685,21.92427004064,no
40,41, 2.687107211498,28.03538853092,4.155393905375,7.171922027713,no
41,42, 2.69582431734,28.66907359749,4.247372938883,37.80191101929,no
42,43, 2.703449199191,29.29706805228,4.338397850335,37.22942102926,no
43,44, 2.714863172425,29.92393260002,4.429129042954,-9.119228506324,no
44,45, 2.725041367772,30.55185923355,4.519881077492,56.51535995579,no
45,46, 2.719959525773,31.17487019048,4.609788544762,-82.30272087358,no
46,47, 2.70432420817,31.80789552855,4.701001622708,-38.63382410676,no
47,48, 2.693764528254,32.43988494739,4.79192232929,-50.03221272686,no
48,49, 2.686720511868,33.07434731005,4.883052189078,43.32017725426,no
49,50, 2.681198977493,33.70858761355,4.974000541342,-14.29485959763,no
50,51, 2.675433141697,34.3352122014,5.063707192194,-32.54689960667,no
51,52, 2.672959773046,34.96032947264,5.153047188011,175.7842507693,no
52,53, 2.671328780197,35.59321864597,5.243341690317,-21.53433021615,no
53,54, 2.671239751272,36.22166188711,5.33284363778,6.286058480935,no
54,55, 2.66905753186,36.85018962793,5.422197194381,7.907835933816,no
55,56, 2.669014169872,37.48142918969,5.511772087187,-26.82629209394,no
56,57, 2.666345816093,38.11369723062,5.601325261219,26.00131011658,no
57,58, 2.662275054852,38.74491996288,5.690560279436,6.886595467206,no
58,59, 2.682080444039,39.36904298304,5.778621865292,177.5349377204,no
59,60, 2.690910010434,40.00498427188,5.86817463237,177.3484754752,no
60,61, 2.679154229923,40.63733697024,5.957042858725,-177.7950390546,no
61,62, 2.674961297185,41.26560430745,6.045157302846,-176.0434140417,no
62,63, 2.670331022735,41.8974309813,6.133587676719,179.1069899704,no
63,64, 2.666807450935,42.52531016296,6.22128084161,174.5754997174,no
64,65, 2.666593158014,43.15541209469,6.309096674308,179.3785490325,no
65,66, 2.663613233113,43.78659281553,6.396871605767,165.9425389988,no
66,67, 2.660470643746,44.41562848432,6.484155152894,-179.7387792779,no
67,68, 2.659933087438,45.0435530538,6.571089657484,166.6638278918,no
68,69, 2.672722071293,45.66602683067,6.657074774741,4.958815958074,no
69,70, 2.677464123283,46.29926013546,6.74434458165,-0.3576384425992,no
70,71, 2.68475453851,46.93162862442,6.83128967628,-0.3076003038448,no
71,72, 2.68812362708,47.56332593285,6.917934786342,0.4753739596453,no
72,73, 2.687122275286,48.19716288062,7.004662075315,-0.203462606924,no
73,74, 2.694149169,48.82759180627,7.090710471213,-0.2316398916043,no
74,75, 2.70192122946,49.45269975127,7.175820700575,0.02252715790384,no
75,76, 2.697197929386,50.08483707551,7.261670836901,-0.1705714274298,no
76,77, 2.694012567314,50.71103307378,7.346496219484,-0.312762403087,no
77,78, 2.691701245133,51.33829095784,7.431245508103,0.1735181964732,no
78,79, 2.680139359182,51.97238983252,7.516692760217,-0.2928082982267,no
79,80, 2.67113942908,52.60294746233,7.601434582919,-0.07476259250878,no
80,81, 2.657981657813,53.23610042342,7.68629360583,-0.4440109993755,no
81,82, 2.659810924238,53.86998568381,7.771015713745,-0.2893864621145,no
82,83, 2.65419500826,54.49856335078,7.854793629628,0.05707908351187,no
83,84, 2.656970180014,55.12392499863,7.937908378983,-0.167185765695,no
84,85, 2.657382008008,55.75582872459,8.0216524749,0.1554293799525,no
85,86, 2.65734399919,56.38657650948,8.105000121569,-0.2285420670904,no
86,87, 2.658229722772,57.01689342102,8.188045524043,0.08842436241704,no
87,88, 2.656206646412,57.64716835502,8.270837683165,0.169108860822,no
88,89, 2.658309151334,58.27764718369,8.353406294781,-0.2348154174648,no
89,90, 2.65664901501,58.90927590188,8.435871933651,0.2368150909546,no
90,91, 2.653637472526,59.53829869071,8.517742629691,0.05995600556671,no
91,92, 2.657366842139,60.16729755608,8.599353570929,0.1791166963032,no
92,93, 2.698063054073,60.77391915525,8.677815715845,-0.2524303793644,no
