Index;Spectrum No;Detector ID(s);R;Theta;Phi;Monitor
0;1;3110001,3110002,3110003,3110004;4.069657564163;32.06502532959;-106.8412970099;no
1;2;3110005,3110006,3110007,3110008;4.061552524567;31.87788248062;-106.9679205585;no
2;3;3110009,3110010,3110011,3110012;4.053505063057;31.69009017944;-107.0964075125;no
3;4;3110013,3110014,3110015,3110016;4.045497536659;31.50167036057;-107.2267884271;no
4;5;3110017,3110018,3110019,3110020;4.037540078163;31.31266021729;-107.3590957987;no
5;6;3110021,3110022,3110023,3110024;4.02961742878;31.12301492691;-107.4933886108;no
6;7;3110025,3110026,3110027,3110028;4.021752476692;30.93277978897;-107.6296936523;no
7;8;3110029,3110030,3110031,3110032;4.013935089111;30.74195480347;-107.768054683;no
8;9;3110033,3110034,3110035,3110036;4.006162524223;30.55051231384;-107.9085272271;no
9;10;3110037,3110038,3110039,3110040;3.998437404633;30.35845279694;-108.0511797487;no
10;11;3110041,3110042,3110043,3110044;3.990762472153;30.16583967209;-108.1960123408;no
11;12;3110045,3110046,3110047,3110048;3.98313254118;29.97262001038;-108.3431145969;no
12;13;3110049,3110050,3110051,3110052;3.975555002689;29.77881669998;-108.492532253;no
13;14;3110053,3110054,3110055,3110056;3.968025028706;29.58446502686;-108.6442883403;no
14;15;3110057,3110058,3110059,3110060;3.960547506809;29.38951730728;-108.7984800593;no
15;16;3110061,3110062,3110063,3110064;3.95311498642;29.19405508041;-108.9551073211;no
16;17;3110065,3110066,3110067,3110068;3.945734977722;28.99802017212;-109.1142695606;no
17;18;3110069,3110070,3110071,3110072;3.938409984112;28.80144786835;-109.2760198193;no
18;19;3110073,3110074,3110075,3110076;3.931127488613;28.6042971611;-109.4404441541;no
19;20;3110077,3110078,3110079,3110080;3.923900008202;28.40667486191;-109.6075310927;no
20;21;3110081,3110082,3110083,3110084;3.916722476482;28.20851230621;-109.7774064827;no
21;22;3110085,3110086,3110087,3110088;3.90959751606;28.00983285904;-109.9501276121;no
22;23;3110089,3110090,3110091,3110092;3.90252995491;27.81064033508;-110.1257572626;no
23;24;3110093,3110094,3110095,3110096;3.895507454872;27.61096000671;-110.3043623395;no
24;25;3110097,3110098,3110099,3110100;3.888540029526;27.41079521179;-110.4860133136;no
25;26;3110101,3110102,3110103,3110104;3.881630003452;27.21013498306;-110.670807684;no
26;27;3110105,3110106,3110107,3110108;3.874762475491;27.00903749466;-110.8587813918;no
27;28;3110109,3110110,3110111,3110112;3.867960035801;26.80747747421;-111.0500508916;no
28;29;3110113,3110114,3110115,3110116;3.861204981804;26.60545492172;-111.2446905328;no
29;30;3110117,3110118,3110119,3110120;3.854504942894;26.40300750732;-111.4427729403;no
30;31;3110121,3110122,3110123,3110124;3.847859978676;26.20013952255;-111.6443970651;no
31;32;3110125,3110126,3110127,3110128;3.841277480125;25.99684524536;-111.8496661182;no
32;33;3110129,3110130,3110131,3110132;3.834739983082;25.7931728363;-112.0586352197;no
33;34;3110133,3110134,3110135,3110136;3.828262507915;25.5891122818;-112.2714246779;no
34;35;3110137,3110138,3110139,3110140;3.821839928627;25.38467741013;-112.4881374196;no
35;36;3110141,3110142,3110143,3110144;3.815475046635;25.17986011505;-112.7088954577;no
36;37;3110145,3110146,3110147,3110148;3.80916249752;24.97473669052;-112.9337427507;no
37;38;3110149,3110150,3110151,3110152;3.802909970284;24.76924753189;-113.1628624341;no
38;39;3110153,3110154,3110155,3110156;3.796715021133;24.56346750259;-113.3963002614;no
39;40;3110157,3110158,3110159,3110160;3.790577530861;24.35737752914;-113.6342275405;no
40;41;3110161,3110162,3110163,3110164;3.784494996071;24.15102291107;-113.8767305811;no
41;42;3110165,3110166,3110167,3110168;3.778477549553;23.94436979294;-114.1239732201;no
42;43;3110169,3110170,3110171,3110172;3.772509992123;23.73749256134;-114.3760412623;no
43;44;3110173,3110174,3110175,3110176;3.766605019569;23.5303850174;-114.6330778312;no
44;45;3110177,3110178,3110179,3110180;3.760757505894;23.32306289673;-114.8952373722;no
45;46;3110181,3110182,3110183,3110184;3.754975020885;23.1155500412;-115.1626551163;no
46;47;3110185,3110186,3110187,3110188;3.749247431755;22.90786266327;-115.4355011088;no
47;48;3110189,3110190,3110191,3110192;3.743580043316;22.70003318787;-115.713876195;no
48;49;3110193,3110194,3110195,3110196;3.73797249794;22.49207019806;-115.9979865889;no
49;50;3110197,3110198,3110199,3110200;3.732427477837;22.28399515152;-116.2879789607;no
50;51;3110201,3110202,3110203,3110204;3.72693747282;22.07585477829;-116.5839983686;no
51;52;3110205,3110206,3110207,3110208;3.721517503262;21.86763286591;-116.8862850382;no
52;53;3110209,3110210,3110211,3110212;3.71615499258;21.6593952179;-117.1949477414;no
53;54;3110213,3110214,3110215,3110216;3.710855007172;21.45114707947;-117.5102095129;no
54;55;3110217,3110218,3110219,3110220;3.70561504364;21.24292230606;-117.8322518534;no
55;56;3110221,3110222,3110223,3110224;3.700442492962;21.03472948074;-118.1613013799;no
56;57;3110225,3110226,3110227,3110228;3.69532251358;20.82663965225;-118.4975127461;no
57;58;3110229,3110230,3110231,3110232;3.690272510052;20.61863279343;-118.8411796408;no
58;59;3110233,3110234,3110235,3110236;3.685279965401;20.41078042984;-119.1924355398;no
59;60;3110237,3110238,3110239,3110240;3.680354952812;20.20308494568;-119.5515895008;no
60;61;3110241,3110242,3110243,3110244;3.675495028496;19.9956073761;-119.9188112436;no
61;62;3110245,3110246,3110247,3110248;3.670702457428;19.78835725784;-120.2944078196;no
62;63;3110249,3110250,3110251,3110252;3.665965020657;19.58139801025;-120.6785660438;no
63;64;3110253,3110254,3110255,3110256;3.661297500134;19.37474250793;-121.071614234;no
64;65;3110257,3110258,3110259,3110260;3.656695008278;19.16843509674;-121.4737981422;no
65;66;3110261,3110262,3110263,3110264;3.652162492275;18.96250772476;-121.8854193607;no
66;67;3110265,3110266,3110267,3110268;3.64768499136;18.75703477859;-122.3067084715;no
67;68;3110269,3110270,3110271,3110272;3.643277525902;18.55203485489;-122.738018394;no
68;69;3110273,3110274,3110275,3110276;3.638932526112;18.34756469727;-123.1796199854;no
69;70;3110277,3110278,3110279,3110280;3.634660005569;18.14366531372;-123.6318737434;no
70;71;3110281,3110282,3110283,3110284;3.6304500103;17.94036769867;-124.0951288255;no
71;72;3110285,3110286,3110287,3110288;3.626310050488;17.7377448082;-124.5696764401;no
72;73;3110289,3110290,3110291,3110292;3.622232496738;17.53586006165;-125.055857114;no
73;74;3110293,3110294,3110295,3110296;3.618224978447;17.3347401619;-125.5540836776;no
74;75;3110297,3110298,3110299,3110300;3.614284992218;17.1344628334;-126.0646963112;no
75;76;3110301,3110302,3110303,3110304;3.610407471657;16.93508529663;-126.5880688842;no
76;77;3110305,3110306,3110307,3110308;3.606604993343;16.73665475845;-127.1246414774;no
77;78;3110309,3110310,3110311,3110312;3.602867484093;16.53924274445;-127.674815143;no
78;79;3110313,3110314,3110315,3110316;3.599192500114;16.34293985367;-128.2389291302;no
79;80;3110317,3110318,3110319,3110320;3.595595002174;16.14777231216;-128.8175177406;no
80;81;3110321,3110322,3110323,3110324;3.592067480087;15.95383477211;-129.4109602365;no
81;82;3110325,3110326,3110327,3110328;3.588600039482;15.76121234894;-130.0196916984;no
82;83;3110329,3110330,3110331,3110332;3.585207462311;15.56997513771;-130.6441776336;no
83;84;3110333,3110334,3110335,3110336;3.581877529621;15.38020730019;-131.2849023571;no
84;85;3110337,3110338,3110339,3110340;3.57862496376;15.19197225571;-131.9423541614;no
85;86;3110341,3110342,3110343,3110344;3.575437545776;15.00537991524;-132.6169868226;no
86;87;3110345,3110346,3110347,3110348;3.572322487831;14.82051753998;-133.3092890515;no
87;88;3110349,3110350,3110351,3110352;3.569280028343;14.63746976852;-134.0197800568;no
88;89;3110353,3110354,3110355,3110356;3.566302478313;14.45634484291;-134.7489243999;no
89;90;3110357,3110358,3110359,3110360;3.563400030136;14.2772500515;-135.4972300923;no
90;91;3110361,3110362,3110363,3110364;3.560570001602;14.1002702713;-136.2652158123;no
91;92;3110365,3110366,3110367,3110368;3.557807564735;13.92553019524;-137.0533854112;no
92;93;3110369,3110370,3110371,3110372;3.555114984512;13.75313997269;-137.8621737971;no
93;94;3110373,3110374,3110375,3110376;3.552492499352;13.58322501183;-138.6921337125;no
94;95;3110377,3110378,3110379,3110380;3.549947500229;13.41589021683;-139.5436971255;no
95;96;3110381,3110382,3110383,3110384;3.547472476959;13.25126242638;-140.4173786904;no
96;97;3110385,3110386,3110387,3110388;3.545059978962;13.08948254585;-141.3135676398;no
97;98;3110389,3110390,3110391,3110392;3.542730033398;12.93066763878;-142.2327679923;no
