Index;Spectrum No;Detector ID(s);R;Theta;Phi;Monitor
0;1;11101001,11101002,11101003,11101004;6.022675037384;5.805894970894;58.97435295346;no
1;2;11101005,11101006,11101007,11101008;6.021222472191;5.668264985085;58.12809020828;no
2;3;11101009,11101010,11101011,11101012;6.019814968109;5.531939983368;57.2401529621;no
3;4;11101013,11101014,11101015,11101016;6.018457531929;5.397014975548;56.30784958761;no
4;5;11101017,11101018,11101019,11101020;6.017150163651;5.263610005379;55.32830276325;no
5;6;11101021,11101022,11101023,11101024;6.015894889832;5.131829977036;54.29843920765;no
6;7;11101025,11101026,11101027,11101028;6.014682531357;5.001812577248;53.21500768881;no
7;8;11101029,11101030,11101031,11101032;6.01352250576;4.873695015907;52.07455113599;no
8;9;11101033,11101034,11101035,11101036;6.012407422066;4.74762737751;50.87342645037;no
9;10;11101037,11101038,11101039,11101040;6.011340022087;4.623779892921;49.60780556229;no
10;11;11101041,11101042,11101043,11101044;6.010325074196;4.502327442169;48.27368939355;no
11;12;11101045,11101046,11101047,11101048;6.009354948997;4.383472442627;46.86692654819;no
12;13;11101049,11101050,11101051,11101052;6.00843501091;4.267424941063;45.38326474787;no
13;14;11101053,11101054,11101055,11101056;6.007565021515;4.154417514801;43.81838679142;no
14;15;11101057,11101058,11101059,11101060;6.006740093231;4.044707536697;42.16796152798;no
15;16;11101061,11101062,11101063,11101064;6.005962491035;3.938557505608;40.42776099777;no
16;17;11101065,11101066,11101067,11101068;6.005232453346;3.836265027523;38.59372803966;no
17;18;11101069,11101070,11101071,11101072;6.004552483559;3.738137543201;36.66214213011;no
18;19;11101073,11101074,11101075,11101076;6.003917455673;3.644502520561;34.62975744473;no
19;20;11101077,11101078,11101079,11101080;6.003334999084;3.555712461471;32.49399650462;no
20;21;11101081,11101082,11101083,11101084;6.002797484398;3.472134947777;30.25317024889;no
21;22;11101085,11101086,11101087,11101088;6.002305030823;3.394137561321;27.9066910513;no
22;23;11101089,11101090,11101091,11101092;6.00186252594;3.322109937668;25.45534366696;no
23;24;11101093,11101094,11101095,11101096;6.001467466354;3.256439983845;22.90149988396;no
24;25;11101097,11101098,11101099,11101100;6.001119971275;3.197507500649;20.24937117834;no
25;26;11101101,11101102,11101103,11101104;6.000817537308;3.145680010319;17.5051706089;no
26;27;11101105,11101106,11101107,11101108;6.000564932823;3.101302444935;14.67722830301;no
27;28;11101109,11101110,11101111,11101112;6.000357508659;3.064689993858;11.77601354063;no
28;29;11101113,11101114,11101115,11101116;6.000197410583;3.036107480526;8.8140264328;no
29;30;11101117,11101118,11101119,11101120;6.000085115433;3.015764951706;5.80559701188;no
30;31;11101121,11101122,11101123,11101124;6.000020027161;3.003824949265;2.766516875668;no
31;32;11101125,11101126,11101127,11101128;6.000002503395;3.00036752224;-0.286425576821;no
32;33;11101129,11101130,11101131,11101132;6.000027537346;3.005414962769;-3.335957741333;no
33;34;11101133,11101134,11101135,11101136;6.000102639198;3.018897473812;-6.3649448865;no
34;35;11101137,11101138,11101139,11101140;6.000224947929;3.040694952011;-9.356916057884;no
35;36;11101141,11101142,11101143,11101144;6.00039255619;3.070617496967;-12.29661946956;no
36;37;11101145,11101146,11101147,11101148;6.000604987144;3.108409941196;-15.1704021847;no
37;38;11101149,11101150,11101151,11101152;6.000864982605;3.15376752615;-17.96654010267;no
38;39;11101153,11101154,11101155,11101156;6.001172542572;3.206364989281;-20.67540459767;no
39;40;11101157,11101158,11101159,11101160;6.001525044441;3.265830039978;-23.28950470984;no
40;41;11101161,11101162,11101163,11101164;6.001922488213;3.331777513027;-25.8034344299;no
41;42;11101165,11101166,11101167,11101168;6.002364993095;3.403814971447;-28.21372900852;no
42;43;11101169,11101170,11101171,11101172;6.002857446671;3.481549978256;-30.51866611942;no
43;44;11101173,11101174,11101175,11101176;6.003390073776;3.564587473869;-32.71803337612;no
44;45;11101177,11101178,11101179,11101180;6.003974914551;3.652554988861;-34.81288360906;no
45;46;11101181,11101182,11101183,11101184;6.00460255146;3.745085000992;-36.80527483158;no
46;47;11101185,11101186,11101187,11101188;6.005270004272;3.841834962368;-38.69808236424;no
47;48;11101189,11101190,11101191,11101192;6.005990028381;3.942469954491;-40.49474555003;no
48;49;11101193,11101194,11101195,11101196;6.006752490997;4.046690106392;-42.1991450772;no
49;50;11101197,11101198,11101199,11101200;6.007560014725;4.154209971428;-43.8154152908;no
50;51;11101201,11101202,11101203,11101204;6.008412480354;4.264757394791;-45.34783299227;no
51;52;11101205,11101206,11101207,11101208;6.009314894676;4.37809252739;-46.80074001518;no
52;53;11101209,11101210,11101211,11101212;6.010257482529;4.493982553482;-48.17842934933;no
53;54;11101213,11101214,11101215,11101216;6.011245012283;4.61222755909;-49.48512392788;no
54;55;11101217,11101218,11101219,11101220;6.012274980545;4.732627511024;-50.72491341852;no
55;56;11101221,11101222,11101223,11101224;6.013355016708;4.855009913445;-51.90173107969;no
56;57;11101225,11101226,11101227,11101228;6.014477491379;4.979212522507;-53.01933810261;no
57;58;11101229,11101230,11101231,11101232;6.015642523766;5.105087518692;-54.08130301575;no
58;59;11101233,11101234,11101235,11101236;6.016852498055;5.232497572899;-55.09100192005;no
59;60;11101237,11101238,11101239,11101240;6.018107533455;5.361317515373;-56.05161677412;no
60;61;11101241,11101242,11101243,11101244;6.019404888153;5.491437554359;-56.96614004373;no
61;62;11101245,11101246,11101247,11101248;6.020747303963;5.622747421265;-57.83737812184;no
62;63;11101249,11101250,11101251,11101252;6.022134780884;5.755152463913;-58.66795636756;no
63;64;11101253,11101254,11101255,11101256;6.023562312126;5.888564944267;-59.46033378444;no
64;65;11102001,11102002,11102003,11102004;6.02390730381;6.05702495575;57.5051376051;no
65;66;11102005,11102006,11102007,11102008;6.022432684898;5.923512578011;56.67257477471;no
66;67;11102009,11102010,11102011,11102012;6.021005153656;5.791212558746;55.80135584048;no
67;68;11102013,11102014,11102015,11102016;6.019627690315;5.660219907761;54.88916213044;no
68;69;11102017,11102018,11102019,11102020;6.018292307854;5.53063750267;53.93352671444;no
69;70;11102021,11102022,11102023,11102024;6.017004966736;5.402579903603;52.93184273267;no
70;71;11102025,11102026,11102027,11102028;6.015765070915;5.276172399521;51.8813640277;no
71;72;11102029,11102030,11102031,11102032;6.014569997787;5.15154004097;50.77918833226;no
72;73;11102033,11102034,11102035,11102036;6.013422489166;5.028827548027;49.62228054393;no
73;74;11102037,11102038,11102039,11102040;6.012325048447;4.908190011978;48.40748512844;no
74;75;11102041,11102042,11102043,11102044;6.011270046234;4.789797544479;47.13152508368;no
75;76;11102045,11102046,11102047,11102048;6.010259985924;4.673827409744;45.79101507576;no
76;77;11102049,11102050,11102051,11102052;6.009300112724;4.560479998589;44.38252662946;no
77;78;11102053,11102054,11102055,11102056;6.008389949799;4.449957609177;42.90257995173;no
78;79;11102057,11102058,11102059,11102060;6.007524967194;4.342497467995;41.34773989433;no
79;80;11102061,11102062,11102063,11102064;6.006702542305;4.23833501339;39.71463708142;no
80;81;11102065,11102066,11102067,11102068;6.005929946899;4.137724995613;38.00006510404;no
81;82;11102069,11102070,11102071,11102072;6.005204916;4.040954947472;36.20109621029;no
