Index;Spectrum No;Detector ID(s);R;Theta;Phi;Monitor
0;1;1;4.739;180;0;yes
1;2;2;1.442;180;0;yes
2;3;3;5.82;0;0;yes
4;5;4101;4.021999835968;3.430000066757;90;no
5;6;4102;4.021999835968;3.859999895096;90;no
6;7;4103;4.021999835968;4.289999961853;90;no
7;8;4104;4.021999835968;4.710000038147;90;no
8;9;4105;4.021999835968;5.139999866486;90;no
9;10;4106;4.021999835968;5.570000171661;90;no
10;11;4107;4.021999835968;6;90;no
11;12;4108;4.021999835968;6.429999828339;90;no
12;13;4109;4.021999835968;6.860000133514;90;no
13;14;4110;4.021999835968;7.289999961853;90;no
14;15;4111;4.021999835968;7.710000038147;90;no
15;16;4112;4.021999835968;8.140000343323;90;no
16;17;4113;4.021999835968;8.569999694824;90;no
17;18;4114;4.021999835968;9;90;no
18;19;4115;4.021999835968;9.430000305176;90;no
19;20;4116;4.021999835968;9.859999656677;90;no
20;21;4117;4.021999835968;10.28999996185;90;no
21;22;4118;4.021999835968;10.71000003815;90;no
22;23;4119;4.021999835968;11.14000034332;90;no
23;24;4120;4.021999835968;11.56999969482;90;no
24;25;4121;4.021999835968;12;90;no
25;26;4122;4.021999835968;12.43000030518;90;no
26;27;4123;4.021999835968;12.85999965668;90;no
27;28;4124;4.021999835968;13.28999996185;90;no
28;29;4201;4.021999835968;6.429999828339;135;no
29;30;4202;4.021999835968;6.860000133514;135;no
30;31;4203;4.021999835968;7.289999961853;135;no
31;32;4204;4.021999835968;7.710000038147;135;no
32;33;4205;4.021999835968;8.140000343323;135;no
33;34;4206;4.021999835968;8.569999694824;135;no
34;35;4207;4.021999835968;9;135;no
35;36;4208;4.021999835968;9.430000305176;135;no
36;37;4209;4.021999835968;9.859999656677;135;no
37;38;4210;4.021999835968;10.28999996185;135;no
38;39;4211;4.021999835968;10.71000003815;135;no
39;40;4212;4.021999835968;11.14000034332;135;no
40;41;4213;4.021999835968;11.56999969482;135;no
41;42;4214;4.021999835968;12;135;no
42;43;4215;4.021999835968;12.43000030518;135;no
43;44;4216;4.021999835968;12.85999965668;135;no
44;45;4301;4.021999835968;3.430000066757;180;no
45;46;4302;4.021999835968;3.859999895096;180;no
46;47;4303;4.021999835968;4.289999961853;180;no
47;48;4304;4.021999835968;4.710000038147;180;no
48;49;4305;4.021999835968;5.139999866486;180;no
49;50;4306;4.021999835968;5.570000171661;180;no
50;51;4307;4.021999835968;6;180;no
51;52;4308;4.021999835968;6.429999828339;180;no
52;53;4309;4.021999835968;6.860000133514;180;no
53;54;4310;4.021999835968;7.289999961853;180;no
54;55;4311;4.021999835968;7.710000038147;180;no
55;56;4312;4.021999835968;8.140000343323;180;no
56;57;4313;4.021999835968;8.569999694824;180;no
57;58;4314;4.021999835968;9;180;no
58;59;4315;4.021999835968;9.430000305176;180;no
59;60;4316;4.021999835968;9.859999656677;180;no
60;61;4401;4.021999835968;6.429999828339;-135;no
61;62;4402;4.021999835968;6.860000133514;-135;no
62;63;4403;4.021999835968;7.289999961853;-135;no
63;64;4404;4.021999835968;7.710000038147;-135;no
64;65;4405;4.021999835968;8.140000343323;-135;no
65;66;4406;4.021999835968;8.569999694824;-135;no
66;67;4407;4.021999835968;9;-135;no
67;68;4408;4.021999835968;9.430000305176;-135;no
68;69;4409;4.021999835968;9.859999656677;-135;no
69;70;4410;4.021999835968;10.28999996185;-135;no
70;71;4411;4.021999835968;10.71000003815;-135;no
71;72;4412;4.021999835968;11.14000034332;-135;no
72;73;4413;4.021999835968;11.56999969482;-135;no
73;74;4414;4.021999835968;12;-135;no
74;75;4415;4.021999835968;12.43000030518;-135;no
75;76;4416;4.021999835968;12.85999965668;-135;no
76;77;4501;4.021999835968;3.430000066757;-90;no
77;78;4502;4.021999835968;3.859999895096;-90;no
78;79;4503;4.021999835968;4.289999961853;-90;no
79;80;4504;4.021999835968;4.710000038147;-90;no
80;81;4505;4.021999835968;5.139999866486;-90;no
81;82;4506;4.021999835968;5.570000171661;-90;no
82;83;4507;4.021999835968;6;-90;no
83;84;4508;4.021999835968;6.429999828339;-90;no
84;85;4509;4.021999835968;6.860000133514;-90;no
85;86;4510;4.021999835968;7.289999961853;-90;no
86;87;4511;4.021999835968;7.710000038147;-90;no
87;88;4512;4.021999835968;8.140000343323;-90;no
88;89;4513;4.021999835968;8.569999694824;-90;no
89;90;4514;4.021999835968;9;-90;no
90;91;4515;4.021999835968;9.430000305176;-90;no
91;92;4516;4.021999835968;9.859999656677;-90;no
92;93;4601;4.021999835968;6.429999828339;-45;no
93;94;4602;4.021999835968;6.860000133514;-45;no
94;95;4603;4.021999835968;7.289999961853;-45;no
95;96;4604;4.021999835968;7.710000038147;-45;no
96;97;4605;4.021999835968;8.140000343323;-45;no
97;98;4606;4.021999835968;8.569999694824;-45;no
98;99;4607;4.021999835968;9;-45;no
99;100;4608;4.021999835968;9.430000305176;-45;no
100;101;4609;4.021999835968;9.859999656677;-45;no
101;102;4610;4.021999835968;10.28999996185;-45;no
102;103;4611;4.021999835968;10.71000003815;-45;no
103;104;4612;4.021999835968;11.14000034332;-45;no
104;105;4613;4.021999835968;11.56999969482;-45;no
105;106;4614;4.021999835968;12;-45;no
106;107;4615;4.021999835968;12.43000030518;-45;no
107;108;4616;4.021999835968;12.85999965668;-45;no
108;109;4701;4.021999835968;3.430000066757;0;no
109;110;4702;4.021999835968;3.859999895096;0;no
110;111;4703;4.021999835968;4.289999961853;0;no
111;112;4704;4.021999835968;4.710000038147;0;no
112;113;4705;4.021999835968;5.139999866486;0;no
113;114;4706;4.021999835968;5.570000171661;0;no
114;115;4707;4.021999835968;6;0;no
115;116;4708;4.021999835968;6.429999828339;0;no
116;117;4709;4.021999835968;6.860000133514;0;no
