 Conv_Time    Conv_tLength   Completed    Saved_Time   Save_tLength  
        0.0       4.9323   0.4329004329          5.0       4.3968  
       11.0       4.9634   0.865800865801         15.0       4.4012  
       22.0       4.7981   1.2987012987         26.0       4.3896  
       32.0       5.0478   1.7316017316         37.0        4.346  
       43.0        4.886   2.1645021645         48.0       4.3521  
       54.0       5.0659   2.5974025974         58.0       4.3441  
       65.0       5.1138   3.0303030303         69.0       4.4217  
       76.0        4.924   3.4632034632         80.0        4.516  
       86.0       4.8348   3.8961038961         91.0       4.3087  
       97.0       4.9848   4.329004329        102.0       4.3537  
      108.0       4.9903   4.7619047619        112.0       4.2915  
      119.0       4.9675   5.19480519481        123.0       4.3098  
      129.0       4.8541   5.62770562771        134.0       4.2875  
      140.0       4.9633   6.06060606061        144.0       4.2875  
      151.0       4.9092   6.49350649351        155.0       4.2928  
      161.0       4.9154   6.92640692641        165.0       4.2892  
      172.0       4.9028   7.35930735931        176.0       4.3051  
      182.0       4.9086   7.79220779221        187.0       4.3014  
      193.0       4.9149   8.22510822511        197.0       4.2831  
      204.0       4.9597   8.65800865801        208.0       4.2678  
      214.0       4.8389   9.09090909091        218.0       4.2751  
      225.0       4.8597   9.52380952381        229.0       4.2714  
      235.0       4.8707   9.95670995671        240.0       4.2726  
      246.0       4.9535   10.3896103896        250.0       4.3817  
      257.0       4.7495   10.8225108225        261.0         4.59  
      267.0       4.8456   11.2554112554        272.0       4.2753  
      278.0       4.7916   11.6883116883        282.0       4.3232  
      288.0       4.9059   12.1212121212        293.0        4.323  
      299.0       4.9385   12.5541125541        303.0       4.2838  
      310.0       4.8741   12.987012987        314.0       4.2885  
      320.0       4.8464   13.4199134199        325.0       4.2894  
      331.0        4.917   13.8528138528        335.0       4.2773  
      342.0       4.9009   14.2857142857        346.0       4.2951  
      352.0       4.9675   14.7186147186        356.0        4.264  
      363.0       5.1119   15.1515151515        367.0       4.4333  
      375.0        6.072   15.5844155844        380.0       5.1072  
      388.0       5.3847   16.0173160173        393.0       5.2192  
      400.0       5.5088   16.4502164502        405.0          4.9  
      412.0       5.7705   16.8831168831        417.0       5.0835  
      424.0       5.3892   17.316017316        429.0        4.966  
      437.0       5.4029   17.7489177489        442.0       4.9288  
      449.0       6.1228   18.1818181818        454.0       4.8235  
      462.0       5.3535   18.6147186147        467.0       4.9504  
      473.0       5.3106   19.0476190476        478.0       4.7198  
      485.0       5.2524   19.4805194805        490.0       4.7077  
      497.0       5.6171   19.9134199134        502.0       5.0427  
      509.0       5.3847   20.3463203463        514.0       5.0172  
      521.0       5.3717   20.7792207792        526.0       4.8334  
      533.0       5.3717   21.2121212121        538.0        5.144  
      545.0       5.5578   21.645021645        550.0       5.0862  
      557.0       5.3466   22.0779220779        562.0       5.0712  
      569.0       5.5738   22.5108225108        574.0       4.9945  
      581.0        5.358   22.9437229437        586.0       5.1726  
      593.0         5.31   23.3766233766        598.0       5.2944  
      605.0       5.3044   23.8095238095        609.0       4.8213  
      616.0       5.3425   24.2424242424        622.0       5.4898  
      629.0       6.1603   24.6753246753        634.0       4.7152  
      641.0         5.41   25.1082251082        646.0       4.8225  
      653.0        5.402   25.5411255411        657.0        4.606  
      664.0       5.2953   25.974025974        669.0       5.0622  
      676.0       5.7531   26.4069264069        681.0       4.9003  
      688.0        5.396   26.8398268398        693.0       4.9568  
      700.0       5.7446   27.2727272727        705.0       5.0558  
      712.0       5.3676   27.7056277056        717.0       4.9048  
      724.0        5.471   28.1385281385        729.0       4.9603  
      736.0       5.5001   28.5714285714        741.0       4.9017  
      748.0        5.257   29.0043290043        753.0       5.1885  
      760.0       5.7425   29.4372294372        765.0        5.332  
