 Conv_Time    Conv_tLength   Completed    Saved_Time   Save_tLength  
      115.0      28.4277   0.4329004329        118.0       2.8127  
      149.0      28.9723   0.865800865801        152.0       2.7832  
      182.0      29.0256   1.2987012987        185.0       2.8154  
      214.0      28.1771   1.7316017316        217.0       3.0306  
      247.0       27.932   2.1645021645        250.0       2.7121  
      280.0      29.2324   2.5974025974        283.0       3.1365  
      315.0      30.0812   3.0303030303        318.0       2.6972  
      348.0      28.8747   3.4632034632        351.0       2.7427  
      382.0      29.4844   3.8961038961        384.0       2.7134  
      415.0      28.7657   4.329004329        417.0       2.7265  
      447.0      28.4512   4.7619047619        450.0       2.7015  
      481.0      29.5708   5.19480519481        484.0       2.7597  
      513.0      28.3196   5.62770562771        516.0       2.7212  
      548.0      30.1673   6.06060606061        551.0       2.7416  
      581.0       29.317   6.49350649351        584.0       2.7161  
      616.0      30.0692   6.92640692641        618.0       2.7757  
      648.0      28.4643   7.35930735931        651.0       2.7299  
      680.0      28.0054   7.79220779221        683.0       2.8081  
      713.0      28.2251   8.22510822511        716.0       2.7771  
      746.0      28.4895   8.65800865801        748.0       2.8139  
      780.0      29.9086   9.09090909091        782.0       2.6567  
      814.0      30.0982   9.52380952381        817.0       2.7245  
      847.0      28.3823   9.95670995671        849.0       2.6949  
      880.0      28.7488   10.3896103896        882.0         2.69  
      912.0      28.4823   10.8225108225        915.0        2.731  
      945.0         28.5   11.2554112554        948.0       2.7158  
      978.0      29.1604   11.6883116883        981.0       2.7639  
     1012.0      29.5159   12.1212121212       1015.0       2.8521  
     1045.0      28.8741   12.5541125541       1048.0       2.6414  
     1078.0       28.775   12.987012987       1081.0       2.7163  
     1111.0      28.9082   13.4199134199       1114.0       2.7518  
     1144.0      28.6617   13.8528138528       1147.0       2.6972  
     1176.0      28.4209   14.2857142857       1179.0       2.6664  
     1210.0      29.2404   14.7186147186       1213.0       2.7182  
     1243.0      28.6637   15.1515151515       1245.0       2.6127  
     1276.0      28.9969   15.5844155844       1278.0       2.6237  
     1310.0      30.0946   16.0173160173       1313.0       2.6685  
     1343.0      28.7229   16.4502164502       1345.0       2.6386  
     1376.0      28.9506   16.8831168831       1378.0       2.6312  
     1409.0      28.6823   17.316017316       1411.0       2.6252  
     1441.0      28.4295   17.7489177489       1444.0       2.5977  
     1473.0      28.2983   18.1818181818       1476.0       2.6428  
     1507.0      29.5257   18.6147186147       1510.0       2.6044  
     1540.0      29.1716   19.0476190476       1543.0        2.629  
     1573.0      28.1477   19.4805194805       1575.0       2.6152  
     1605.0      28.3258   19.9134199134       1608.0       2.7931  
