 Conv_Time    Conv_tLength   Completed    Saved_Time   Save_tLength  
      468.0       8.4418   0.434782608696        472.0       3.9261  
      480.0       8.1399   0.869565217391        484.0       4.0084  
      492.0       7.5992   1.30434782609        496.0       3.9612  
      503.0       7.5176   1.73913043478        507.0       3.7695  
      515.0       7.8382   2.17391304348        519.0       3.8259  
      527.0       8.1531   2.60869565217        531.0       3.8783  
      539.0       8.1775   3.04347826087        543.0       3.8851  
      551.0       8.5254   3.47826086957        555.0       3.9563  
      563.0       8.2542   3.91304347826        567.0         3.87  
      576.0       8.6543   4.34782608696        580.0        3.988  
      588.0       8.0205   4.78260869565        592.0       3.8522  
      600.0       8.5835   5.21739130435        604.0       3.9413  
      612.0       7.9814   5.65217391304        616.0       3.8364  
      624.0       8.2321   6.08695652174        628.0       3.9187  
      636.0       8.0288   6.52173913043        640.0       3.9012  
      649.0       8.3995   6.95652173913        653.0       3.9894  
      661.0       8.6295   7.39130434783        665.0       4.0267  
      674.0        8.395   7.82608695652        678.0       3.9844  
      686.0       8.3298   8.26086956522        690.0       3.9545  
      698.0       8.3161   8.69565217391        702.0       3.9618  
      711.0       8.5086   9.13043478261        715.0       4.0693  
      723.0       8.2763   9.5652173913        727.0       3.9266  
      736.0       8.6616         10.0        740.0       4.0134  
      748.0       8.4828   10.4347826087        752.0       4.0839  
      768.0      15.4225   10.8695652174        772.0       4.0572  
      782.0      10.0396   11.3043478261        786.0       3.8654  
      794.0       8.5845   11.7391304348        798.0       3.9919  
      807.0       8.1505   12.1739130435        811.0       3.9092  
      819.0       8.1318   12.6086956522        823.0       3.9638  
      831.0       8.1581   13.0434782609        835.0       3.9121  
      843.0       8.0721   13.4782608696        847.0       4.0147  
      856.0        8.715   13.9130434783        859.0       3.9105  
      868.0       8.6912   14.347826087        872.0       3.8065  
      880.0       8.0069   14.7826086957        884.0       3.9432  
      892.0        8.039   15.2173913043        896.0       3.8113  
      904.0       8.1378   15.652173913        908.0       3.8974  
      916.0       7.7336   16.0869565217        919.0       3.8514  
      928.0       8.3133   16.5217391304        932.0       3.9363  
      939.0        7.428   16.9565217391        943.0       3.7589  
      951.0       8.1982   17.3913043478        955.0       4.0226  
      963.0       8.2591   17.8260869565        968.0       4.0667  
      976.0       8.1698   18.2608695652        980.0       4.0155  
      988.0       8.2946   18.6956521739        992.0       4.0238  
     1000.0       8.1423   19.1304347826       1004.0       4.0332  
     1012.0       8.2003   19.5652173913       1017.0       4.0669  
     1025.0       8.2778         20.0       1029.0       4.0477  
     1037.0       8.1781   20.4347826087       1041.0       4.0388  
     1050.0       8.4118   20.8695652174       1054.0       4.2149  
     1062.0       8.3604   21.3043478261       1066.0       4.1177  
     1074.0       8.2568   21.7391304348       1079.0       4.1601  
     1087.0       8.2286   22.1739130435       1091.0       4.0242  
     1099.0       8.1947   22.6086956522       1103.0       3.9826  
     1111.0       8.1615   23.0434782609       1115.0       3.9887  
     1124.0       8.2256   23.4782608696       1128.0       4.0314  
     1136.0        8.131   23.9130434783       1140.0       4.0511  
     1148.0       8.2492   24.347826087       1152.0       3.9071  
     1160.0       8.1578   24.7826086957       1164.0       4.0128  
     1172.0        8.147   25.2173913043       1176.0       3.8854  
     1184.0       8.0712   25.652173913       1188.0        3.899  
     1196.0       8.1401   26.0869565217       1200.0       3.8554  
     1208.0       8.1127   26.5217391304       1212.0        3.923  
     1220.0       8.1146   26.9565217391       1224.0       3.8763  
     1232.0       8.1126   27.3913043478       1236.0       3.8282  
     1244.0        8.158   27.8260869565       1248.0       3.9131  
     1256.0       8.1281   28.2608695652       1260.0       3.8911  
     1268.0       8.0385   28.6956521739       1272.0       3.8286  
     1280.0       8.2013   29.1304347826       1284.0       3.9562  
     1293.0       8.2721   29.5652173913       1296.0       3.8454  
     1305.0       8.2066         30.0       1309.0       3.9348  
     1317.0       8.1621   30.4347826087       1321.0       3.9476  
     1329.0       8.1642   30.8695652174       1333.0       3.8997  
