Linux 2.6.32-431.11.2.el6.x86_64 (melehan.nd.rl.ac.uk) 	06/05/2014 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.32    0.00    1.34    1.68    0.00   95.66

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdi               7.76       132.32       541.46    2352396    9625944
sdj              65.61      4289.61     10059.93   76260244  178844368
sda              25.04      2066.14         0.81   36731715      14352
sdb               0.01         0.10         0.00       1740          0
sdc               0.01         0.10         0.00       1740          0
sdd              23.86      2040.26      1159.41   36271603   20611848
sde               0.01         0.10         0.00       1740          0
sdg              25.04      2064.80         0.84   36707802      14976
sdf              23.86      2039.07      1149.49   36250430   20435520
sdh               0.01         0.10         0.00       1754          0
dm-0              0.02         0.15         0.00       2656          0
dm-1              1.83         9.42        10.75     167474     191184
dm-2             50.05      4130.75         1.65   73436023      29328
dm-3             47.70      4079.14      2308.90   72518553   41047368
dm-5            516.56      4130.64         1.65   73434151      29328
dm-4            798.51      4079.04      2308.90   72516681   41047368
dm-6           1793.68      4289.50     10059.93   76258338  178844368
dm-7              0.04         0.29         0.00       5226         24
dm-8             64.55        33.44       503.96     594466    8959288
dm-9              6.46        87.33        26.74    1552498     475384
dm-10          1315.02      8209.62      2310.55  145949794   41076696

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           9.13    0.00    9.47    0.58    0.00   80.82

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdi               8.70         0.00       178.40          0       1784
sdj             327.00         0.00    152617.60          0    1526176
sda               0.00         0.00         0.00          0          0
sdb               0.00         0.00         0.00          0          0
sdc               0.00         0.00         0.00          0          0
sdd               0.00         0.00         0.00          0          0
sde               0.00         0.00         0.00          0          0
sdg               0.00         0.00         0.00          0          0
sdf               0.00         0.00         0.00          0          0
sdh               0.00         0.00         0.00          0          0
dm-0              0.00         0.00         0.00          0          0
dm-1              0.90         0.00         7.20          0         72
dm-2              0.00         0.00         0.00          0          0
dm-3              0.00         0.00         0.00          0          0
dm-5              0.00         0.00         0.00          0          0
dm-4              0.00         0.00         0.00          0          0
dm-6          19077.20         0.00    152617.60          0    1526176
dm-7              0.00         0.00         0.00          0          0
dm-8             21.40         0.00       171.20          0       1712
dm-9              0.00         0.00         0.00          0          0
dm-10             0.00         0.00         0.00          0          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           8.59    0.00    4.86    0.66    0.00   85.89

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdi               7.50         0.00      1554.40          0      15544
sdj             384.80         0.00    153087.20          0    1530872
sda               0.00         0.00         0.00          0          0
sdb               0.00         0.00         0.00          0          0
sdc               0.00         0.00         0.00          0          0
sdd               0.10         0.00         0.80          0          8
sde               0.00         0.00         0.00          0          0
sdg               0.00         0.00         0.00          0          0
sdf               0.10         0.00         1.60          0         16
sdh               0.00         0.00         0.00          0          0
dm-0              0.00         0.00         0.00          0          0
dm-1              5.20         0.00        41.60          0        416
dm-2              0.00         0.00         0.00          0          0
dm-3              0.20         0.00         2.40          0         24
dm-5              0.00         0.00         0.00          0          0
dm-4              0.30         0.00         2.40          0         24
dm-6          19135.90         0.00    153087.20          0    1530872
dm-7              0.00         0.00         0.00          0          0
dm-8            189.10         0.00      1512.80          0      15128
dm-9              0.00         0.00         0.00          0          0
dm-10             0.30         0.00         2.40          0         24

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           6.02    0.00    8.01    0.39    0.00   85.58

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdi               1.10         0.00        96.80          0        968
sdj             327.30         0.00    152618.40          0    1526184
sda               0.00         0.00         0.00          0          0
sdb               0.00         0.00         0.00          0          0
sdc               0.00         0.00         0.00          0          0
sdd               0.00         0.00         0.00          0          0
sde               0.00         0.00         0.00          0          0
sdg               0.00         0.00         0.00          0          0
sdf               0.00         0.00         0.00          0          0
sdh               0.00         0.00         0.00          0          0
dm-0              0.00         0.00         0.00          0          0
dm-1              1.00         0.00         8.00          0         80
dm-2              0.00         0.00         0.00          0          0
dm-3              0.00         0.00         0.00          0          0
dm-5              0.00         0.00         0.00          0          0
dm-4              0.00         0.00         0.00          0          0
dm-6          19077.30         0.00    152618.40          0    1526184
dm-7              0.00         0.00         0.00          0          0
