Linux 2.6.32-431.11.2.el6.x86_64 (melehan.nd.rl.ac.uk) 	06/05/2014 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.25    0.00    0.25    1.98    0.00   97.52

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdi               7.82       169.63       442.71    2146588    5602368
sdj              42.88      5893.64         0.08   74581596       1024
sda              33.59      2890.25         0.25   36574947       3184
sdb               0.02         0.14         0.00       1740          0
sdc               0.02         0.14         0.00       1740          0
sdd              30.99      2861.95       198.20   36216835    2508112
sde               0.02         0.14         0.00       1740          0
sdg              33.59      2888.36         0.17   36551010       2208
sdf              30.99      2860.27       195.05   36195582    2468232
sdh               0.02         0.14         0.00       1754          0
dm-0              0.03         0.21         0.00       2656          0
dm-1              1.60        13.23         7.35     167474      93056
dm-2             67.14      5778.34         0.43   73122463       5392
dm-3             61.95      5721.95       393.24   72408937    4976344
dm-5            722.36      5778.19         0.43   73120591       5392
dm-4            764.41      5721.80       393.24   72407065    4976344
dm-6            736.70      5893.49         0.08   74579690       1024
dm-7              0.05         0.41         0.00       5226         24
dm-8             51.32        30.85       398.05     390338    5037216
dm-9              9.04       122.55        37.30    1550818     472008
dm-10          1486.69     11499.91       393.67  145526618    4981736

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           5.12    0.00    8.83    1.36    0.00   84.70

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdi              13.30         0.00      1551.20          0      15512
sdj               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sdb               0.00         0.00         0.00          0          0
sdc               0.00         0.00         0.00          0          0
sdd              98.50         2.40     79478.40         24     794784
sde               0.00         0.00         0.00          0          0
sdg               0.00         0.00         0.00          0          0
sdf              98.50         2.40     73140.00         24     731400
sdh               0.00         0.00         0.00          0          0
dm-0              0.00         0.00         0.00          0          0
dm-1              2.80         0.00        22.40          0        224
dm-2              0.00         0.00         0.00          0          0
dm-3            197.00         4.80    152618.40         48    1526184
dm-5              0.00         0.00         0.00          0          0
dm-4          19077.90         4.80    152618.40         48    1526184
dm-6              0.00         0.00         0.00          0          0
dm-7              0.00         0.00         0.00          0          0
dm-8            191.10         0.00      1528.80          0      15288
dm-9              0.00         0.00         0.00          0          0
dm-10         19077.90         4.80    152618.40         48    1526184

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           8.69    0.00    9.37    1.49    0.00   80.45

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdi               2.10         0.00       100.00          0       1000
sdj               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sdb               0.00         0.00         0.00          0          0
sdc               0.00         0.00         0.00          0          0
sdd              97.70         2.40     73114.40         24     731144
sde               0.00         0.00         0.00          0          0
sdg               0.00         0.00         0.00          0          0
sdf              97.70         3.20     79336.80         32     793368
sdh               0.00         0.00         0.00          0          0
dm-0              0.00         0.00         0.00          0          0
dm-1              1.70         0.00        13.60          0        136
