Linux 2.6.32-431.11.2.el6.x86_64 (melehan.nd.rl.ac.uk) 	06/06/2014 	_x86_64_	(24 CPU)

06/06/2014 09:53:16 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.87    0.00   15.90    0.61    0.00   81.62

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdi              13.63       439.46       748.46   34801700   59272616
sdi1              0.00         0.02         0.00       1536          0
sdi2              0.00         0.00         0.00        190          0
sdi3              0.01         0.34         0.00      27050         64
sdi4              0.00         0.00         0.00         12          0
sdi5             13.62       439.09       748.46   34772736   59272552
sdj             106.06      9827.50     25062.75  778268012 1984790832
sdj1            106.06      9827.50     25062.75  778267876 1984790832
sda               5.63       463.87         0.20   36735347      15928
sda1              5.63       463.87         0.20   36735243      15928
sdb               0.00         0.02         0.00       1740          0
sdb1              0.00         0.02         0.00       1684          0
sdc               0.00         0.02         0.00       1740          0
sdc1              0.00         0.02         0.00       1684          0
sdd               5.37       458.11       260.30   36278811   20613984
sdd1              5.37       458.11       260.30   36278707   20613984
sde               0.00         0.02         0.00       1740          0
sde1              0.00         0.02         0.00       1684          0
sdg               5.63       463.57         0.21   36711426      16608
sdg1              5.63       463.57         0.21   36711282      16608
sdf               5.37       457.84       258.09   36257710   20438920
sdf1              5.37       457.84       258.09   36257566   20438920
sdh               0.00         0.02         0.00       1754          0
sdh1              0.00         0.02         0.00       1698          0
dm-0              0.00         0.03         0.00       2656        152
dm-1              3.19        63.94        18.51    5063794    1466088
dm-2             11.25       927.40         0.41   73443279      32536
dm-3             10.73       915.90       518.39   72533041   41052904
dm-5            115.98       927.37         0.41   73441407      32536
dm-4            179.29       915.88       518.39   72531169   41052904
dm-6           3291.29      9827.48     25062.75  778266106 1984790832
dm-7              0.01         0.08         0.00       6538         24
dm-8             90.73        46.61       716.44    3690842   56736816
dm-9              8.09       328.41        13.50   26007802    1069472
dm-10           295.25      1843.24       518.80  145971538   41085440

06/06/2014 09:53:26 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.13    0.00    0.33    0.04    0.00   99.50

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdi               7.20         1.60       194.40         16       1944
sdi1              0.00         0.00         0.00          0          0
sdi2              0.00         0.00         0.00          0          0
sdi3              0.00         0.00         0.00          0          0
sdi4              0.00         0.00         0.00          0          0
sdi5              7.20         1.60       194.40         16       1944
sdj               0.60         0.00         9.60          0         96
sdj1              0.60         0.00         9.60          0         96
sda               0.20         0.00         2.40          0         24
sda1              0.20         0.00         2.40          0         24
sdb               0.00         0.00         0.00          0          0
sdb1              0.00         0.00         0.00          0          0
sdc               0.00         0.00         0.00          0          0
sdc1              0.00         0.00         0.00          0          0
sdd               0.10         0.00         6.40          0         64
sdd1              0.10         0.00         6.40          0         64
sde               0.00         0.00         0.00          0          0
sde1              0.00         0.00         0.00          0          0
sdg               0.10         0.00         0.80          0          8
sdg1              0.10         0.00         0.80          0          8
sdf               0.20         0.00         1.60          0         16
sdf1              0.20         0.00         1.60          0         16
sdh               0.00         0.00         0.00          0          0
sdh1              0.00         0.00         0.00          0          0
dm-0              0.00         0.00         0.00          0          0
dm-1              4.20         0.00        33.60          0        336
dm-2              0.30         0.00         3.20          0         32
dm-3              0.30         0.00         8.00          0         80
dm-5              0.40         0.00         3.20          0         32
dm-4              1.00         0.00         8.00          0         80
dm-6              1.20         0.00         9.60          0         96
dm-7              0.00         0.00         0.00          0          0
dm-8             20.10         0.00       160.80          0       1608
dm-9              0.00         0.00         0.00          0          0
dm-10             1.40         0.00        11.20          0        112

06/06/2014 09:53:36 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.62    0.00    0.56    0.03    0.00   95.79

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdi               1.50         0.00       140.80          0       1408
